id,ranked,time_control,status,winner,white,black,moves
495a0516-a99d-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,pepecuba,MennaBarreto,1. e4 c5 2. d4 cxd4 3. f4 Nc6 4. Nf3 d5 5. Bd3 dxe4 6. Bxe4 Bd7 7. Bd3 Nf6 8. O-O e6 9. a3 Nd5 10. Qe1 Bd6 11. b4 O-O 12. Bxh7+ Kxh7 13. Ng5+ Kg8 14. Qh4 Nf6 15. Rf3 e5 16. Rh3 Bxh3 17. gxh3 exf4 18. Bxf4 Bxf4 19. Qxf4 Qd5 20. Nd2 Qe5 21. Qh4 Qe3+ 22. Kh1 Qxd2 23. Rf1 Rfe8 24. Nf3 Qh6 25. Qg3 Ne4 26. Qg2 Ne5 27. Nxd4 Qg6 28. Qxe4 Qxe4+ 0-1
ac4b9b80-a99d-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,MennaBarreto,shughes,1. d4 d5 2. Nf3 Bf5 3. c4 e6 4. Nc3 a6 5. cxd5 exd5 6. Qb3 b6 7. Qxd5 Qxd5 8. Nxd5 Bd6 9. Bf4 Bxf4 10. Nxf4 Nf6 11. e3 O-O 12. Bd3 Bg4 13. Ne5 Nbd7 14. Rc1 Rac8 15. Bxa6 Ra8 16. Bc4 Nxe5 17. dxe5 Nd7 18. h3 Bf5 19. g4 Be4 20. f3 Bxf3 21. Rf1 Be4 22. e6 Ne5 23. exf7+ Kh8 24. Ne6 Nf3+ 25. Rxf3 Bxf3 26. Nxf8 Rxf8 27. Be6 c6 28. Rc4 g6 29. Kf2 Bd1 30. Rxc6 b5 31. Rb6 Kg7 32. Rxb5 Rd8 33. Rd5 Rb8 34. Rxd1 Rb6 35. Rd8 Rxb2+ 36. Kf3 Rb1 37. f8=Q# 1-0
24b25cee-a99e-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,Artman42,MennaBarreto,1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. d4 exd4 5. Bc4 Nf6 6. Nbd2 O-O 7. Nb3 Nxe4 8. Nxc5 dxc5 9. Bd3 Re8 10. O-O Nd7 11. Re1 Ndf6 12. Ne5 Nd6 13. g4 Nxg4 14. Bxh7+ Kxh7 15. Nxg4 Rxe1+ 16. Qxe1 Bxg4 0-1
693df81e-a99e-11df-8000-000000010001,True,blitz,abandoned,MennaBarreto,MennaBarreto,tikas1,1. Nf3 c5 2. g3 Nc6 3. Bg2 d6 4. d4 g6 5. d5 Ne5 6. Nxe5 dxe5 7. O-O Bg7 8. Nd2 Nf6 9. Nc4 b5 10. d6 Rb8 11. Nxe5 exd6 12. Nc6 Qc7 13. Nxb8 Qxb8 14. Bf4 Bf8 15. e4 Be7 16. Re1 O-O 17. e5 dxe5 18. Bxe5 Rd8 19. Bxb8 Bg4 20. Qxd8+ Bxd8 21. h3 Be6 22. Rad1 Bb6 23. Be5 Nd7 24. Bd5 Bf5 25. Bxf7+ Kxf7 26. Bd6 Bd8 27. Bxc5 Bxc2 28. Rxd7+ Kf6 29. Rxd8 1-0
e2d5e628-a99e-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,MennaBarreto,binilg,1. e4 g6 2. d4 Bg7 3. Nf3 e6 4. Nc3 Ne7 5. Be2 O-O 6. h4 h5 7. Ng5 d5 8. Bxh5 dxe4 9. Be3 e5 10. d5 Nf5 11. Ncxe4 gxh5 12. Qxh5 Nh6 13. f3 Qxd5 14. Rd1 Qa5+ 15. Bd2 Qxa2 16. g4 Nc6 17. Nh3 Nd4 18. Bxh6 Nxf3+ 19. Kf2 Qxb2 20. Bxg7 Qd4+ 21. Rxd4 1-0
6a235994-a99f-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,MennaBarreto,pigmaxmarra,1. Nf3 d5 2. c4 e6 3. d4 Nf6 4. Nc3 Bb4 5. Bg5 Be7 6. e3 O-O 7. Bd3 dxc4 8. Bxc4 Nc6 9. O-O Nd7 10. Bf4 Bf6 11. Ne4 Be7 12. Qe2 Nf6 13. Ng3 Bd6 14. Bg5 Be7 15. Rfd1 Nd5 16. Bxe7 Ndxe7 17. e4 Ng6 18. Qe3 a6 19. Rac1 Nce7 20. h4 c6 21. h5 Nh8 22. h6 g6 23. Qg5 f6 24. Qf4 g5 25. Qe3 Neg6 26. Nh5 Qe7 27. e5 f5 28. Qxg5 Qxg5 29. Nxg5 Nf7 30. Nf6+ Kh8 31. Nfxh7 Nxg5 32. Nxg5 Re8 33. Nf7+ Kh7 34. Rc3 Re7 35. Ng5+ Kxh6 36. Nh3 Bd7 37. Rg3 Rg7 38. f4 Ne7 39. Ng5 Rg6 40. Rh3+ Kg7 41. Rh7+ Kf8 42. Rh8+ Rg8 43. Rxg8+ Kxg8 44. Nxe6 Kh7 45. Nc5 Be8 46. d5 cxd5 47. Bxd5 Nc6 48. Nxb7 Rb8 49. Nd6 Bg6 50. Bxc6 Rxb2 51. e6 Rxa2 52. e7 Rc2 53. e8=Q Bxe8 54. Bxe8 Kg7 55. Nxf5+ Kf6 56. Nd4 Rb2 57. Re1 a5 58. Re6+ Kg7 59. Rg6+ Kf8 60. Bc6 a4 61. Bd5 a3 62. Nf5 a2 63. Rg8# 1-0
106f5f5a-a9a0-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,iparindra,MennaBarreto,1. e4 c5 2. f4 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. c3 Nf6 6. d3 O-O 7. O-O Qb6 8. a4 d5 9. e5 Ne8 10. Qe2 Nc7 11. c4 Nxb5 12. axb5 Nb4 13. Nc3 dxc4 14. dxc4 Bf5 15. Be3 Bd3 16. Qf2 Bxf1 17. Bxc5 Nd3 18. Bxb6 Nxf2 19. Bxf2 Bxc4 20. Rxa7 Rxa7 21. Bxa7 Ra8 22. Bc5 e6 23. Ba3 Bf8 24. Nd2 Bd5 25. Ndb1 Bxa3 26. Nxa3 Kf8 27. Kf2 Ke7 28. g3 Kd7 29. Ke3 h5 30. Kd4 h4 31. Nxd5 exd5 32. Kxd5 hxg3 33. hxg3 Rh8 34. Kc5 Kc7 35. b6+ Kd7 36. Nc4 Rh3 37. Nd6 Rxg3 38. Nxb7 Rb3 39. Nd6 f6 40. b7 Rxb2 0-1
9e4b4a8c-a9a0-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,MennaBarreto,iparindra,1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. O-O Qf6 5. c3 h6 6. d4 exd4 7. e5 Qe7 8. cxd4 Bb6 9. d5 Nd8 10. d6 Qe6 11. Nc3 c6 12. Ba4 f5 13. Bb3 Qg6 14. Nh4 Qg4 15. Qxg4 fxg4 16. Ng6 Nf7 17. Bxf7+ Kxf7 18. Nxh8+ Ke6 19. Ng6 Bd4 20. Be3 Bxe5 21. Nxe5 Kxe5 22. Rad1 Nf6 23. Bd4+ Ke6 24. Rfe1+ Kf7 25. Re7+ Kg6 26. Rxg7+ Kxg7 27. Ne4 b6 28. Nxf6 Kf7 29. Re1 c5 30. Re7+ Kg6 31. Bc3 h5 32. Nxd7 Bxd7 33. Rxd7 Re8 34. Rg7+ Kf5 35. d7 Rd8 36. Re7 h4 37. Re5+ Kg6 38. Re7 Kf5 39. h3 gxh3 40. gxh3 a5 41. Kg2 c4 42. Kf3 a4 43. Ke3 Kg6 44. Bd4 Kf5 45. Bxb6 Rb8 46. d8=Q Rxd8 47. Bxd8 1-0
452fe66e-a9a1-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,chinolays,MennaBarreto,1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nc3 Nbd7 7. Rc1 c6 8. Bd3 h6 9. Bh4 a6 10. O-O Re8 11. Ne5 Nxe5 12. dxe5 Nd7 13. Bg3 Nc5 14. Bb1 dxc4 15. Qc2 Qd3 16. Qxd3 Nxd3 17. Rc2 b5 18. Ne4 Bd7 19. b3 cxb3 20. axb3 c5 21. Rd1 Rad8 22. Rxd3 Bc6 23. Rxd8 Rxd8 24. Rc1 f6 25. exf6 gxf6 26. h3 Bd5 27. Nxc5 Rc8 28. b4 a5 29. e4 Ba8 30. Bf4 axb4 31. Nxe6 Rxc1+ 32. Bxc1 Kf7 33. Nc7 Bc6 34. Bxh6 b3 35. f3 Bd6 36. Nd5 Ke6 37. Nc3 b4 38. Ne2 Bb5 39. Nd4+ Kd7 40. Nxb5 Bc5+ 41. Kf1 Kc6 42. e5 fxe5 43. Bg7 Kxb5 44. Bxe5 Be3 45. Ke2 Bc1 46. g4 Kc5 47. h4 Kd5 48. Bf6 Bf4 49. g5 Ke6 50. Kd3 Bg3 51. h5 Be1 52. h6 Kf7 53. Ke4 Bc3 54. f4 Bxf6 55. gxf6 Kxf6 56. f5 b2 57. Kf4 b3 58. Kg4 Kf7 59. Kg5 Kg8 60. f6 Kf7 0-1
f898daf8-a9a1-11df-8000-000000010001,True,blitz,checkmated,nidal,nidal,MennaBarreto,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Bd3 d6 6. O-O Nc6 7. Be3 Be7 8. c4 O-O 9. Nc3 Bd7 10. Kh1 Ne5 11. f4 Nxd3 12. Qxd3 a6 13. e5 Ne8 14. Rad1 Rc8 15. Ne4 Qc7 16. b3 dxe5 17. fxe5 Bc6 18. Nxc6 Qxc6 19. Bg5 Bxg5 20. Nxg5 Nc7 21. Qxh7# 1-0
